type	key	name	lead
city	shizuoka/higashi-izu/atami	熱海市	
city	shizuoka/higashi-izu/higashiizu	東伊豆町	
city	shizuoka/higashi-izu/ito	伊東市	
city	shizuoka/higashi-izu/shimoda	下田市	
city	shizuoka/minami-izu/minamiizu	南伊豆町	
city	shizuoka/minami-izu/shimoda	下田市	
city	shizuoka/nishi-izu/izu	伊豆市	
city	shizuoka/nishi-izu/matsuzaki	松崎町	
city	shizuoka/nishi-izu/minamiizu	南伊豆町	
city	shizuoka/nishi-izu/nishiizu	西伊豆町	
city	shizuoka/nishi-izu/numazu	沼津市	
city	shizuoka/suruga-bay/fuji	富士市	
city	shizuoka/suruga-bay/makinohara	牧之原市	
city	shizuoka/suruga-bay/omaezaki	御前崎市	
city	shizuoka/suruga-bay/shizuoka	静岡市	
city	shizuoka/suruga-bay/yaizu	焼津市	
city	shizuoka/suruga-bay/yoshida	吉田町	
city	tokyo/tokyobay/koto	江東区	
city	tokyo/tokyobay/koutou	江東区	
city	tokyo/tokyobay/ota	大田区	
city	wakayama/kii-suido-wakayama/arida	有田市	
city	wakayama/kii-suido-wakayama/gobo	御坊市	
city	wakayama/kii-suido-wakayama/hirokawa	広川町	
city	wakayama/kii-suido-wakayama/kainan	海南市	
city	wakayama/kii-suido-wakayama/kushimoto	串本町	
city	wakayama/kii-suido-wakayama/mihama	美浜町	
city	wakayama/kii-suido-wakayama/shirahama	白浜町	
city	wakayama/kii-suido-wakayama/susami	すさみ町	
city	wakayama/kii-suido-wakayama/tanabe	田辺市	
city	wakayama/kii-suido-wakayama/wakayama	和歌山市	
city	wakayama/kii-suido-wakayama/yuasa	湯浅町	
city	wakayama/kii-suido-wakayama/yura	由良町	
city	wakayama/kumano-nada/kushimoto	串本町	
city	wakayama/kumano-nada/kusimoto	串本町	
city	wakayama/kumano-nada/nachikatsuura	那智勝浦町	
city	wakayama/kumano-nada/nachikatuura	那智勝浦町	
city	wakayama/kumano-nada/shing	新宮市	
city	wakayama/kumano-nada/taiji	太地町	
