No	ブログ名	URL	主なエリア	釣り方・魚種	判定	備考
33	ゲルの気ままにフィッシング！	https://ameblo.jp/will197575/	千葉・遠征	海釣り全般	OK	千葉ベース・遠征あり
34	Harry UP!!!	https://harry-up.com/	千葉	海釣り	OK	千葉海釣り
35	ウロコナイ釣行2	https://ameblo.jp/urokonai/	神奈川	アオリイカ・タコ	OK	三浦・バイク釣行
36	釣りと野遊び	http://myblog44814.blog20.fc2.com/	全国	キス投げ釣り	OK	ライトタックルキス専門・関東中心
37	縄文のココロ	https://catcheat.exblog.jp/	関東	釣って食べる	要確認	海釣り比率確認必要
38	sakanazuki（三番瀬カヤック）	http://adviser38no.blogspot.com/	千葉	カヤック・チヌ・シーバス	要確認	三番瀬中心・おかっぱりも
39	釣りコスト削減委員会	https://ameblo.jp/turennaissu/	千葉	イワシ・サビキ	OK	千葉港湾サビキ・コスパ重視
40	釣り吉おやじ	https://ameblo.jp/turikitioyaji/	関東	海釣り・日常	要確認	釣り以外記事も多い
41	小バッチハンターの釣行記	https://kobatchhunter.naturum.ne.jp/	宮城・茨城	シーバス・フラット	要確認	エリア外だが東京湾釣行あり
42	六ケの釣りブログ	https://ameblo.jp/xanxan2005/	東京湾	シーバス	OK	江戸川・東京湾奥
43	しぜんらぼフィッシング	https://fishing.sizenlab.com/	千葉	カヤック・カゴ釣り	要確認	千葉海釣り・おかっぱりも含む
44	波止釣り日記（はまかぜ）	https://hamanako.blog7.fc2.com/	静岡浜名湖	黒鯛・波止	要確認	浜名湖付近・おかっぱり
45	奥浜名湖釣況日記	https://hamanako.blog7.fc2.com/	静岡浜名湖	黒鯛	要確認	浜名湖おかっぱり情報
46	カヤック325フィッシング	https://ameblo.jp/rb26m/	千葉南房総	アオリイカ	要確認	カヤック・おかっぱり混在
47	釣りいいたいほうだい	https://ameblo.jp/teppjntr/	千葉（外房・九十九里）	投げ釣り・キス・イシモチ	OK	外房サーフ投げ釣りの地元感あり
48	釣り人ジラフ	https://giraffefishing.hatenablog.com	千葉（内房）・東京湾	アジング・ルアー・各種	OK	内房アジング・ライトゲーム中心・更新継続中
49	Year In Year Out 魚花日記	https://fish2flower.hatenablog.com	千葉（内房）	投げ釣り・キス・漁港	OK	内房投げ釣り・文体が丁寧で読みやすい
50	釣りバカに捧げる日記	https://golomon.hatenablog.com	千葉（内房サーフ）	ルアー・ヒラメ・青物	OK	内房サーフルアー中心
51	千葉の房総ルアーマン ケンシロウ	https://ameblo.jp/eternal-loner	千葉（内房・外房）	ルアー・ヒラスズキ・ヒラメ	OK	磯・サーフおかっぱり中心
52	荒川シーバス釣行記	https://www.arakawafishing.com	東京（荒川）	シーバス・ルアー全般	OK	荒川〜東京湾岸おかっぱり・情報量多い
53	都内海釣りスポット紹介（釣り散歩お爺ちゃん）		東京・神奈川	五目釣り・施設・多魚種	OK	首都圏施設中心・シロギス記事充実
54	東京湾おかっぱりアジ釣り記		東京湾奥	アジ・カゴ釣り・各種	OK	東京湾内陸っぱりアジ専門的
55	房総半島堤防磯アジルアー		千葉（房総全域）	アジ・磯・ライトルアー	OK	房総おかっぱり全域・沖縄遠征も
56	投げ釣り子供と楽しむブログ	https://throwfishing.xyz	神奈川（西湘）	投げ釣り・シロギス・サーフ	OK	西湘サーフ投げ釣り特化・遠投解説充実
57	茨城県大洗港釣行記		茨城（大洗・鹿島）	地元仕掛・多魚種	OK	茨城地元仕掛紹介あり・地元感高い
58	茨城ショアジギ・アジング		茨城（県央エリア）	アジング・メバリング	OK	茨城おかっぱりライトゲーム
59	釣り散歩お爺ちゃん		神奈川（三浦・横須賀）	100均釣具・五目・各種	OK	うみかぜ公園・本牧など施設情報充実
60	Mr.BOo（三浦・東京湾）		神奈川（三浦）・東京湾	スルメイカ・タチウオ・各種	要確認	船と陸混在の可能性あり
61	y-fishing-matt（三浦半島）		神奈川（三浦半島）	フカセ・エギング・ルアー	OK	三浦半島メジナ・クロダイ・アオリイカ
62	ジョン（フラット・ショア）		神奈川	フラット・ヒラメ・マゴチ	OK	神奈川サーフ・フラットフィッシュ
63	white（横須賀チニング）		神奈川（横須賀）	チニング・横須賀地磯	OK	地磯カサゴ・チニング中心
64	隠者の夕暮れ（東京湾サワラ）		東京湾	メタルマル・サワラ・青物	OK	東京湾遠浅エリアおかっぱり青物
65	TSURINEWS	https://tsurinews.jp	全国	海釣り全般・釣行記・釣り場情報	OK	RSS: https://tsurinews.jp/feed/ 週刊つりニュース系・記事量多い・おかっぱり記事含む
66	TSURI HACK（釣りハック）	https://tsurihack.com	全国	海釣り全般・釣り方・タックル	OK	RSS: https://tsurihack.com/feed 日本最大級釣りWEBメディア・釣り場記事充実
67	ORETSURI（俺釣）	https://oretsuri.com	関東中心（神奈川・東京湾）	堤防・サーフ・投げ・多魚種	OK	RSS: https://oretsuri.com/feed 神奈川中心・おかっぱり記事に強い・年間230万UU
68	ルアマガプラス	https://www.luremaga.jp	全国	ルアー・ソルト全般	OK	RSS: https://www.luremaga.jp/feed/ 内外出版・ルアーマガジン系WEBメディア
69	LureNewsR（ルアーニュースアール）	https://www.lurenewsr.com	全国	ルアー・ソルト・エギング	OK	RSS: https://www.lurenewsr.com/feed/ 名光通信社・週刊ルアーニュース系
70	釣りビジョンマガジン	https://www.fishing-v.jp/premium/	全国	海釣り全般・釣り場ガイド	OK	RSS: https://www.fishing-v.jp/premium/feed/ 釣りビジョン公式WEBマガジン
71	Gman.jp（釣り情報ジーマン）	https://gman.jp	全国	ユーザー投稿型釣果・釣り場情報	OK	ユーザー投稿型・全国の釣果・スポット情報・RSS要確認
72	つりそく（釣りの総合ニュース）	https://www.tsurisoku.com	全国	釣果・釣りニュース・海釣り場情報	OK	RSS: https://www.tsurisoku.com/feed/ 釣果まとめ・釣りニュース速報
73	FishingJapan（フィッシングジャパン）	https://fishingjapan.jp	全国	海釣り情報・釣り場・タックル	OK	RSS: https://fishingjapan.jp/feed/ 釣り情報ニュースサイト
74	カンパリ釣果情報	https://fishing.ne.jp	全国	釣果投稿・陸っぱり・海釣り	OK	釣果投稿型・エリア別釣果あり・スポット名マッチングに活用可
