No,ブログ名,URL,主なエリア,釣り方・魚種,判定,備考
33,ゲルの気ままにフィッシング！,https://ameblo.jp/will197575/,千葉・遠征,海釣り全般,OK,千葉ベース・遠征あり
34,Harry UP!!!,https://harry-up.com/,千葉,海釣り,OK,千葉海釣り
35,ウロコナイ釣行2,https://ameblo.jp/urokonai/,神奈川,アオリイカ・タコ,OK,三浦・バイク釣行
36,釣りと野遊び,http://myblog44814.blog20.fc2.com/,全国,キス投げ釣り,OK,ライトタックルキス専門・関東中心
37,縄文のココロ,https://catcheat.exblog.jp/,関東,釣って食べる,要確認,海釣り比率確認必要
38,sakanazuki（三番瀬カヤック）,http://adviser38no.blogspot.com/,千葉,カヤック・チヌ・シーバス,要確認,三番瀬中心・おかっぱりも
39,釣りコスト削減委員会,https://ameblo.jp/turennaissu/,千葉,イワシ・サビキ,OK,千葉港湾サビキ・コスパ重視
40,釣り吉おやじ,https://ameblo.jp/turikitioyaji/,関東,海釣り・日常,要確認,釣り以外記事も多い
41,小バッチハンターの釣行記,https://kobatchhunter.naturum.ne.jp/,宮城・茨城,シーバス・フラット,要確認,エリア外だが東京湾釣行あり
42,釣行日記（GEN）幻の黒鯛,https://akifisher.seesaa.net/,神奈川,クロダイ,OK,乗合船・おかっぱり混在
43,六ケの釣りブログ,https://ameblo.jp/xanxan2005/,東京湾,シーバス,OK,江戸川・東京湾奥
44,釣りコスト削減委員会（サビキ）,https://ameblo.jp/turennaissu/,千葉,海釣り全般,OK,千葉全域・費用対効果重視
45,tsurikatsu千葉内房,https://tsurikatsu.net/,千葉,穴釣り・家族釣り,OK,千葉ファミリー釣り情報
46,しぜんらぼフィッシング,https://fishing.sizenlab.com/,千葉,カヤック・カゴ釣り,要確認,千葉海釣り・おかっぱりも含む
47,波止釣り日記（はまかぜ）,https://hamanako.blog7.fc2.com/,静岡浜名湖,黒鯛・波止,OK要確認,浜名湖付近・おかっぱり
48,奥浜名湖釣況日記,https://hamanako.blog7.fc2.com/,静岡浜名湖,黒鯛,要確認,浜名湖おかっぱり情報
49,釣り人のブログ（北風とルアー）,https://kitakazetolureblog.com/,北海道,サビキ・ルアー,NG,北海道専門・除外
50,カヤック325フィッシング,https://ameblo.jp/rb26m/,千葉南房総,アオリイカ,要確認,カヤック・おかっぱり混在
